"","x"
"1",0.00305844138024526
"2",0.0029868174185087
"3",0.0026815478836275
"4",0.0028078649908226
"5",0.00303390732808329
"6",0.00293133662732012
"7",0.00259381510736238
"8",0.00315451761049009
"9",0.00302019580781019
"10",0.00277207792035238
"11",0.00333271134453853
"12",0.00218317014486684
"13",0.00296269506788144
"14",0.00285753022540035
"15",0.00335357101336566
"16",0.00310671533858788
"17",0.00384541258683093
"18",0.00293250216503231
"19",0.00300458417148767
"20",0.0027281020111532
"21",0.0030877017340462
"22",0.00303196056115014
"23",0.00309415813362284
"24",0.00304626444551741
"25",0.00299174108436497
"26",0.00285624974629945
"27",0.00292412039397144
"28",0.00323339363640423
"29",0.00318713638607051
"30",0.0029084244442539
"31",0.0030666466350644
"32",0.00364626129229667
"33",0.0029393560142108
"34",0.00337535848621305
"35",0.00307839826458614
"36",0.00311940965408803
"37",0.0027558364885231
"38",0.002842175421368
"39",0.0030988934831266
"40",0.00333366036202023
"41",0.00350526037677753
"42",0.00297833356554153
"43",0.00253647339282668
"44",0.00321505807281787
"45",0.00366971216602761
"46",0.00222809060218088
"47",0.00339911317801332
"48",0.00289804250556747
"49",0.00312176701446208
"50",0.00251295944969471
"51",0.00297816845231964
"52",0.00313825415723602
"53",0.00290626720959793
"54",0.00294519913547384
"55",0.00341014179115095
"56",0.00332582718607642
"57",0.00274272500161345
"58",0.00320128750939585
"59",0.00307992260800694
"60",0.00320978158979443
"61",0.00310723630130036
"62",0.00287607491216102
"63",0.00309293651382458
"64",0.00343173640517571
"65",0.0027544835633106
"66",0.00322869743802133
"67",0.00333750827836667
"68",0.00278391060051564
"69",0.00328870550711275
"70",0.00281832753308959
"71",0.0030869820741782
"72",0.00298653206150436
"73",0.00276446194241663
"74",0.00295539760291709
"75",0.00287759319142472
"76",0.0029060416206475
"77",0.00268737556022464
"78",0.00356215026390356
"79",0.0030779975952118
"80",0.00288635814660083
"81",0.00300745729519815
"82",0.00249529120590987
"83",0.00275972151365568
"84",0.00316242542788123
"85",0.00306914871649047
"86",0.00330668887610403
"87",0.00266610917051054
"88",0.00326777663578883
"89",0.00311315274984833
"90",0.00285265812022436
"91",0.0037040274813566
"92",0.00299944838183922
"93",0.00382143939103742
"94",0.00304245253192772
"95",0.00312795251513961
"96",0.00305234169690664
"97",0.00293990678820683
"98",0.00308441269415613
"99",0.00240052689935499
"100",0.00277370327349621
"101",0.00337652444825466
"102",0.00325953454345654
"103",0.00349164650110765
"104",0.00289501349730193
"105",0.00328838618945167
"106",0.00277322948170934
"107",0.00368463747072502
"108",0.00247423456020965
"109",0.00311533233646162
"110",0.00320298064174955
"111",0.00298740356998331
"112",0.00257833341841319
"113",0.00308072217068195
"114",0.00301100791033718
"115",0.00355063429623402
"116",0.00323783512336297
"117",0.00278554280379166
"118",0.00311157930479436
"119",0.00313600141258161
"120",0.00292983167127255
"121",0.00298747583341077
"122",0.00329322962369338
"123",0.00243841614909627
"124",0.00287600634668809
"125",0.00336857208676685
"126",0.00287999772871842
"127",0.00299262819521402
"128",0.00286132203380686
"129",0.0028906870588828
"130",0.00302101584181457
"131",0.00262660684130702
"132",0.00295331374528041
"133",0.00250974860639093
"134",0.00284961730294583
